#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
27,E02,8,G04
28,C04,8,G05
29,B12,8,G06
31,B10,8,G07
32,D08,8,G08
34,E07,8,G09
35,E07,8,G10
39,C11,8,G12
23,F02,8,H01
24,G05,8,H02
26,C01,8,H03
27,E08,8,H04
28,E12,8,H05
29,E01,8,H06
31,D03,8,H07
32,H05,8,H08
34,E09,8,H09
35,E08,8,H10
37,G09,8,H11
39,E06,8,H12
39,H01,9,A01
43,B11,9,A02
44,C04,9,A03
47,A03,9,A04
48,H12,9,A05
51,A10,9,A06
52,E04,9,A07
54,G07,9,A08
59,B10,9,A10
61,D03,9,A11
63,C07,9,A12
41,A01,9,B01
43,B12,9,B02
44,E02,9,B03
47,F03,9,B04
48,H04,9,B05
51,D01,9,B06
52,G01,9,B07
54,H12,9,B08
56,D05,9,B09
59,C03,9,B10
61,F11,9,B11
63,D02,9,B12
41,D11,9,C01
43,C04,9,C02
45,A12,9,C03
47,G12,9,C04
49,B12,9,C05
51,H11,9,C06
53,D10,9,C07
55,D08,9,C08
57,C11,9,C09
62,A01,9,C11
63,E01,9,C12
41,E03,9,D01
43,F12,9,D02
48,C04,9,D04
49,C07,9,D05
51,H03,9,D06
53,D02,9,D07
55,E04,9,D08
57,D01,9,D09
59,F04,9,D10
63,F11,9,D12
41,E09,9,E01
43,F05,9,E02
46,A01,9,E03
48,C07,9,E04
51,H04,9,E06
53,D04,9,E07
55,F08,9,E08
57,F02,9,E09
60,A03,9,E10
62,C10,9,E11
63,F02,9,E12
41,G12,9,F01
43,G03,9,F02
46,C01,9,F03
48,D05,9,F04
49,G05,9,F05
52,A02,9,F06
53,H04,9,F07
55,H05,9,F08
57,H12,9,F09
60,C01,9,F10
62,C04,9,F11
63,F04,9,F12
42,F06,9,G01
43,H03,9,G02
46,C02,9,G03
48,D09,9,G04
49,H10,9,G05
52,A05,9,G06
54,D07,9,G07
56,B10,9,G08
58,A12,9,G09
60,E05,9,G10
63,G03,9,G12
42,H05,9,H01
43,H04,9,H02
46,C03,9,H03
48,F02,9,H04
49,H12,9,H05
52,B07,9,H06
54,G02,9,H07
56,D01,9,H08
58,G08,9,H09
60,H08,9,H10
62,G07,9,H11
63,H12,9,H12
66,D06,10,C03
72,A06,10,H05
64,B12,10,B01
83,H12,10,B10
65,E02,10,A02
66,D11,10,A03
68,B04,10,A04
70,E02,10,A05
72,B12,10,A06
74,G11,10,A07
77,F02,10,A08
80,B08,10,A09
85,B07,10,A11
87,C08,10,A12
65,E06,10,B02
66,D12,10,B03
68,F07,10,B04
70,F02,10,B05
72,C10,10,B06
74,G03,10,B07
78,E11,10,B08
80,E07,10,B09
85,B08,10,B11
87,F10,10,B12
64,B06,10,C01
65,F04,10,C02
68,G10,10,C04
70,F04,10,C05
72,F11,10,C06
74,H06,10,C07
78,E12,10,C08
80,G07,10,C09
83,H02,10,C10
85,C12,10,C11
64,F03,10,D01
65,H11,10,D02
66,E09,10,D03
68,H10,10,D04
70,G03,10,D05
72,H05,10,D06
74,H08,10,D07
78,F05,10,D08
81,B11,10,D09
84,B05,10,D10
85,C04,10,D11
88,A08,10,D12
64,F04,10,E01
65,H12,10,E02
66,H11,10,E03
69,H11,10,E04
71,A02,10,E05
73,C06,10,E06
75,E02,10,E07
78,G10,10,E08
81,E11,10,E09
84,F02,10,E10
85,F04,10,E11
88,B11,10,E12
64,G10,10,F01
66,A09,10,F02
66,H04,10,F03
69,H07,10,F04
71,D10,10,F05
73,E09,10,F06
76,A06,10,F07
78,H12,10,F08
